uniq_id,description,category,_len_description,text,_len__text
920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.",Watches ,1108,calibro sw-125 analog digital watch man boys price 699 calibro present mtg black dial round watch fashionable watch mtg add style statement brand know usage quality material make appealing watch understand need youth able present wide range watch customer variety design style youthful approach execute brand brilliantly lead brand style finish matter calibro present mtg black dial round watch fashionable watch mtg add style statement brand know usage quality material make appealing watch understand need youth able present wide range watch customer variety design style youthful approach execute brand brilliantly lead brand style finish matter,648
08452abdadb3db1e686b94a9c52fc7b6,"Cartier W6701005 Analog Watch  - For Boys, Men - Buy Cartier W6701005 Analog Watch  - For Boys, Men  W6701005 Online at Rs.201000 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,265,cartier w6701005 analog watch boy man buy cartier w6701005 analog watch boy man w6701005 online rs.201000 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,209
1e8741b5ae27a513546c94b3f3312aee,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men - Buy Lois Caron LCS-4032 Analog Watch  - For Boys, Men  LCS-4032 Online at Rs.399 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,268,lois caron lcs-4032 analog watch boy man buy lois caron lcs-4032 analog watch boy man lcs-4032 online rs.399 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,212
189fa66a5fa6f08d2802a62ecf0be298,"Titan 1639SL03 Analog Watch  - For Boys, Men - Buy Titan 1639SL03 Analog Watch  - For Boys, Men  1639SL03 Online at Rs.1695 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,259,titan 1639sl03 analog watch boy man buy titan 1639sl03 analog watch boy man 1639sl03 online rs.1695 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,203
bbb8cdc5406ff60ff06ff64630f2ca47,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls - Buy Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls  Megnet_Led_Sport_BlackRed1 Online at Rs.200 in India Only at Flipkart.com. Led Watch, Sports Led, Megnet watch, Fresh arrival, latest, fancy, Srushti, GirlsWatch, Men, Women, Boys, Wrist Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,490,srushti art jewelry megnet_led_sport_blackred1 digital watch men woman boys girl buy srushti art jewelry megnet_led_sport_blackred1 digital watch men women boy girl megnet_led_sport_blackred1 online rs.200 india flipkart.com watch sports megnet watch fresh arrival late fancy srushti girlswatch men women boy wrist watch great discount genuine product day replacement guarantee free shipping cash delivery,405
1120bc768623572513df956172ffefeb,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys
                         Price: Rs. 1,829
				
			If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.
If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.",Watches ,669,"escort e-1700 906_blk analog watch man boy price 1,829 flaunt mantra hit street style wear black coloured analog watch man house escort casing add appeal timepiece wear rainy day thank water resistance upto atm flaunt mantra hit street style wear black coloured analog watch man house escort casing add appeal timepiece wear rainy day thank water resistance upto atm",366
5479bb7028827d60000720a2c135976a,"Jack klein BlackLed Digital Watch  - For Boys - Buy Jack klein BlackLed Digital Watch  - For Boys  BlackLed Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,260,jack klein blackled digital watch boy buy jack klein blackled digital watch boy blackled online rs.150 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,206
733aa1e801a139fa8dc7be9f0eff5ee0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women - Buy North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women  IW-005-FK Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,317,north moon iw-005 silicone digital watch boy girl woman buy north moon iw-005 silicone digital watch boys girl woman iw-005 online rs.150 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,241
62c35de4df27437d3597963fac55a8b6,"Franck Bella FB74C Analog Watch  - For Boys, Men - Buy Franck Bella FB74C Analog Watch  - For Boys, Men  FB74C Online at Rs.780 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,263,franck bella fb74c analog watch boy man buy franck bella fb74c analog watch boy man fb74c online rs.780 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,207
33d97d63c037078cd3f08033966d6a88,"Ridas Apl_led_black Apple Shape Digital Watch  - For Boys - Buy Ridas Apl_led_black Apple Shape Digital Watch  - For Boys  Apl_led_black Online at Rs.249 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,289,ridas apl_led_black apple shape digital watch boy buy ridas apl_led_black apple shape digital watch boy apl_led_black online rs.249 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,235
d7ca2b06b4f4d3b98c61c377b18a2d6b,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys - Buy Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys  AD1057-Dark-Orange Online at Rs.1199 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,390,skmei ad1057 dark orange sports analog digital watch man boy buy skmei ad1057 dark orange sports analog digital watch men boy ad1057 dark orange online rs.1199 india flipkart.com digital chronograph alarm watch light function date month display great discount genuine product day replacement guarantee free shipping cash delivery,329
f74476ba64365d97a5be7d375cbf4c7a,"Now SP-ETHNIC Analog Watch  - For Boys - Buy Now SP-ETHNIC Analog Watch  - For Boys  SP-ETHNIC Online at Rs.600 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,247,ethnic analog watch boy buy ethnic analog watch boy ethnic online rs.600 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,176
fda50982a672ef8835de5c1cc86f8bfc,"Franck Bella FB127A Analog Watch  - For Boys, Men - Buy Franck Bella FB127A Analog Watch  - For Boys, Men  FB127A Online at Rs.999 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,266,franck bella fb127a analog watch boy man buy franck bella fb127a analog watch boy man fb127a online rs.999 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,210
4788f5466992da09024b8ffcc8a5cba4,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys - Buy Skmei DG0939-Red Sports Digital Watch  - For Men, Boys  DG0939-Red Online at Rs.999 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,351,skmei dg0939 red sports digital watch man boy buy skmei dg0939 red sports digital watch man boy dg0939 red online rs.999 india flipkart.com digital chronograph alarm watch light function date month display great discount genuine product day replacement guarantee free shipping cash delivery,290
653826cd53f1d9e2c086c0ac7846ef70,"fastrack 38015PL01 Analog Watch  - For Men, Boys - Buy fastrack 38015PL01 Analog Watch  - For Men, Boys  38015PL01 Online at Rs.2495 in India Only at Flipkart.com. Stainless steel back cover. Hybrid case construction for a sportier and more rugged look with increased shock resistance. High precision quartz analogue movement. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,431,fastrack 38015pl01 analog watch man boy buy fastrack 38015pl01 analog watch men boy 38015pl01 online rs.2495 india flipkart.com stainless steel cover hybrid case construction sporty rugged look increase shock resistance high precision quartz analogue movement great discount genuine product day replacement guarantee free shipping cash delivery,344
3c74db45cbfc14a78b8466dca494b3bb,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls - Buy Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls  WQ18 Online at Rs.7495 in India Only at Flipkart.com. Qibla Compass, Light, Azan Time Calculation - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,337,alfajr wq18 qibla compass digital watch men boys girl buy alfajr wq18 qibla compass digital watch men boys girl wq18 online rs.7495 india flipkart.com qibla compass light azan time calculation great discount genuine product day replacement guarantee free shipping cash delivery,277
4aa047f14885c74f155ce5f973e14dff,"Disney 98189 Analog Watch  - For Boys, Girls - Buy Disney 98189 Analog Watch  - For Boys, Girls  98189 Online at Rs.900 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,255,disney 98189 analog watch boy girl buy disney 98189 analog watch boy girl 98189 online rs.900 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,197
7c4fec2331da8d40f2cb146eb198cb57,"Disney DW100405 Digital Watch  - For Boys - Buy Disney DW100405 Digital Watch  - For Boys  DW100405 Online at Rs.1345 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,253,disney dw100405 digital watch boy buy disney dw100405 digital watch boy dw100405 online rs.1345 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,199
b52073e7ed9c00c4108cae4eb0c49c1a,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls
                         Price: Rs. 595
				
			Brand: Vizion,Sports Series watch for Kids,1 year manufacturer warranty,Digital display,Automatic movement,Metal Case and solid body ,Dial shape:Round,Dial dimension:22mm ,Strap material:Silicone ,Strap width:20mm,Water resistant,Night display cold backLight, Daily Alarm,Hour minute second ,date week display, 12/24 hour format,Attractive brand packaging- Tuff plastic box,Note: In case of non-receipt of warranty card, please intimate us within 48 hours,Disclaimer: Product color may slightly vary due to photographic lighting sources or your monitor settings (The image has been enlarged for better viewing)
Brand: Vizion,Sports Series watch for Kids,1 year manufacturer warranty,Digital display,Automatic movement,Metal Case and solid body ,Dial shape:Round,Dial dimension:22mm ,Strap material:Silicone ,Strap width:20mm,Water resistant,Night display cold backLight, Daily Alarm,Hour minute second ,date week display, 12/24 hour format,Attractive brand packaging- Tuff plastic box,Note: In case of non-receipt of warranty card, please intimate us within 48 hours,Disclaimer: Product color may slightly vary due to photographic lighting sources or your monitor settings (The image has been enlarged for better viewing)",Watches ,1340,"vizion 8502 7purple sports series digital watch boys girls price 595 brand vizion sports series watch kids,1 year manufacturer warranty digital display automatic movement metal case body dial shape round dial dimension:22 strap material silicone strap width:20mm water resistant night display cold backlight daily alarm hour minute second date week display 12/24 hour format attractive brand packaging- tuff plastic box note case non receipt warranty card intimate hour disclaimer product color slightly vary photographic lighting source monitor setting image enlarge well viewing brand vizion sports series watch kids,1 year manufacturer warranty digital display automatic movement metal case body dial shape round dial dimension:22 strap material silicone strap width:20mm water resistant night display cold backlight daily alarm hour minute second date week display 12/24 hour format attractive brand packaging- tuff plastic box note case non receipt warranty card intimate hour disclaimer product color slightly vary photographic lighting source monitor setting image enlarge well viewing",1092
ee8d9ff65e0fe4278afce7c933d30941,"Elantra S 10 Analog Watch  - For Boys, Men - Buy Elantra S 10 Analog Watch  - For Boys, Men  S 10 Online at Rs.950 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,250,elantra analog watch boy man buy elantra analog watch boy man online rs.950 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,179
788dc3a3da91c0f46a7c465e07f91dd4,"Marvel DW100243 Digital Watch  - For Boys, Girls - Buy Marvel DW100243 Digital Watch  - For Boys, Girls  DW100243 Online at Rs.299 in India Only at Flipkart.com. Buckle Clasp, Multi-color Strap, Contemporary Dial - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,317,marvel dw100243 digital watch boy girl buy marvel dw100243 digital watch boy girl dw100243 online rs.299 india flipkart.com buckle clasp multi color strap contemporary dial great discount genuine product day replacement guarantee free shipping cash delivery,257
29b1ca231e10d5269516b80bf9d0dffc,"Lenco Bdblue Tango Analog Watch  - For Men, Boys - Buy Lenco Bdblue Tango Analog Watch  - For Men, Boys  Bdblue Online at Rs.599 in India Only at Flipkart.com. Sports Watch, Casual Watch, Big Size Dial, Colourful Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,323,lenco bdblue tango analog watch man boy buy lenco bdblue tango analog watch man boy bdblue online rs.599 india flipkart.com sports watch casual watch big size dial colourful strap great discount genuine product day replacement guarantee free shipping cash delivery,264
8b268c1e68f198ae2e934717d49f48e9,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys - Buy D'Signer 681GM_WHT Analog Watch  - For Men, Boys  681GM_WHT Online at Rs.6645 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches ,268,d'signer 681gm_wht analog watch man boy buy d'signer 681gm_wht analog watch man boy 681gm_wht online rs.6645 india flipkart.com great discount genuine product day replacement guarantee free shipping cash delivery,212
b85f8843bb1c297dd5712f0bd287006d,"Key Features of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Color: Multicolor No of Contents: 8 Diwan Sheet Length225 cm Cushion Cover Length:40 cm,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Price: Rs. 979 Add oodles of style to your home with an exciting range of designer furniture, furnishings, decor items and kitchenware. We promise to deliver best quality products at best prices.,Specifications of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set General Brand SANTOSH ROYAL FASHION Material Cotton Pattern Embroidered Style Code dsnsan-34 Color Multicolor Dimensions Bolster Cover Length 23 inch / 40 cm Cushion Cover Width 15 inch / 40 cm Diwan Sheet Length 88 inch / 225 cm Cushion Cover Length 15 inch / 40 cm Diwan Sheet Width 59 inch / 150 cm In the Box Number of Contents in Sales Package Pack of 8 Sales Package 1 Diwan Sheet,5 Cushion Covers, 2 Bolster Covers Additional Features Fabric Care Machine Washable, Do Not Soak",Home Furnishing ,954,"key santosh royal fashion cotton embroider diwan set color multicolor content diwan sheet length225 cushion cover length:40 santosh royal fashion cotton embroider diwan set price 979 add oodle style home exciting range designer furniture furnishing decor item kitchenware promise deliver good quality product good price ,specification santosh royal fashion cotton embroider diwan set general brand santosh royal fashion material cotton pattern embroider style code dsnsan-34 color multicolor dimension bolster cover length inch cushion cover width inch diwan sheet length inch 225 cushion cover length inch diwan sheet width inch 150 box number content sale package pack sale package diwan sheet,5 cushion cover bolster cover additional fabric care washable soak",762
a4b09aa7927c59fbb39960b3d7919909,"Key Features of House This Queen Cotton Duvet Cover Material:100% Cotton Outer.Inner Polyfill Thrade :210 Dimension: Duvet Cover 229X274 Cms 1 Double Duvet Cover,Specifications of House This Queen Cotton Duvet Cover (Grey) General Brand House This Closure Button Design Code P21821 Material Cotton Pattern Printed Thread Count 210 Style Code Dco-Smart Stripe-Black Grey Size Queen Color Grey Dimensions Length 107 inch / 274 cm Width 90 inch / 229 cm In the Box Number of Contents in Sales Package Pack of 1 Fabric Care Machine Washable, Do Not Soak Additional Features Reversible No",Home Furnishing ,583,key house queen cotton duvet cover material:100 cotton outer inner polyfill thrade 210 dimension duvet cover 229x274 cm double duvet cover specification house queen cotton duvet cover grey general brand house closure button design code p21821 material cotton pattern print thread count 210 style code dco smart stripe black grey size queen color grey dimension length 107 inch 274 width inch 229 box number content sale package pack fabric care washable soak additional reversible,480
